Time INa IKr IKs Ito1 IK1 IKp INaCa INaK IpCa ICab INab ICa JDHPR Jup Jtrpn Jtr Jxfer IKv43 IKv14 IKv14_K IKv14_Na Ito2 Istim Itot 
0.001 -3.86349e-09 -1.94993e-06 -7.46624e-09 -1.40001e-08 -2.81218 -2.6438e-10 -0.103069 0.122524 0.00545703 -0.058534 -0.1701 0 -0 2.18594e-06 -3.03309e-06 2.7532e-06 5.75304e-06 -1.31354e-10 -1.38688e-08 -3.26415e-09 -1.06046e-08 -0.00525874 0 -3.02116 
0.002 -3.86349e-09 -2.64961e-06 -7.46496e-09 -1.39904e-08 -2.81216 -2.64378e-10 -0.103207 0.122524 0.00546203 -0.0585302 -0.1701 0 -0 2.23189e-06 -2.67665e-06 2.91872e-06 6.57032e-06 -1.22897e-10 -1.38675e-08 -3.26383e-09 -1.06036e-08 -0.00525874 0 -3.02127 
0.003 -3.86349e-09 -2.82382e-06 -7.46369e-09 -1.39926e-08 -2.81214 -2.64377e-10 -0.103321 0.122524 0.00546618 -0.058527 -0.1701 0 -0 2.27038e-06 -2.38803e-06 3.05593e-06 6.47371e-06 -1.21793e-10 -1.38708e-08 -3.26461e-09 -1.06062e-08 -0.0105175 0 -3.02662 
0.004 -3.86349e-09 -2.77477e-06 -7.46243e-09 -1.39965e-08 -2.81212 -2.64375e-10 -0.103414 0.122524 0.00546954 -0.0585245 -0.1701 0 -0 2.30184e-06 -2.16105e-06 3.16952e-06 6.38097e-06 -1.21633e-10 -1.38748e-08 -3.26553e-09 -1.06093e-08 -0.00525874 0 -3.02142 
0.005 -3.86349e-09 -2.63788e-06 -7.4612e-09 -1.40005e-08 -2.8121 -2.64373e-10 -0.103488 0.122524 0.00547225 -0.0585224 -0.1701 0 -0 2.32743e-06 -1.98495e-06 3.26301e-06 6.29688e-06 -1.21609e-10 -1.38789e-08 -3.26647e-09 -1.06124e-08 -0.0105175 -100 -3.02673 
0.006 -3.86349e-09 -2.471e-06 -7.45975e-09 -1.40042e-08 -2.81176 -2.64346e-10 -0.103549 0.122524 0.00547444 -0.0585208 -0.1701 0 -0 2.34847e-06 -1.84842e-06 3.34057e-06 6.21993e-06 -1.21594e-10 -1.38827e-08 -3.26713e-09 -1.06155e-08 -0.0105175 0 -3.02645 
0.007 -3.86349e-09 -2.30124e-06 -7.45855e-09 -1.40083e-08 -2.81174 -2.64344e-10 -0.103597 0.122524 0.0054762 -0.0585195 -0.1701 0 -0 2.36566e-06 -1.74467e-06 3.40438e-06 6.14974e-06 -1.21595e-10 -1.38867e-08 -3.26808e-09 -1.06186e-08 -0.0105175 0 -3.02647 
0.008 -3.86349e-09 -2.13905e-06 -7.45737e-09 -1.40123e-08 -2.81172 -2.64343e-10 -0.103629 0.122524 0.00547735 -0.0585186 -0.1701 0 -0 2.37745e-06 -1.6834e-06 3.44342e-06 5.45774e-06 -1.21596e-10 -1.38908e-08 -3.26901e-09 -1.06217e-08 -0.00525874 0 -3.02123 
0.009 -3.86349e-09 -1.98844e-06 -7.4562e-09 -1.40164e-08 -2.8117 -2.64341e-10 -0.103621 0.122524 0.00547705 -0.0585188 -0.1701 0 -0 2.37608e-06 -1.71607e-06 3.44624e-06 5.18887e-06 -1.21597e-10 -1.38948e-08 -3.26995e-09 -1.06248e-08 -0.0105175 0 -3.02646 
0.01 -1.68941e-09 2.72392e-05 3.09442e-08 1.29228e-07 0.137894 0.0553585 0.172232 0.282461 0.00547667 -0.0331619 -0.0701 0 -0 2.37402e-06 -1.75167e-06 3.45233e-06 5.64097e-06 1.78954e-09 1.27439e-07 1.30014e-07 -2.57516e-09 -0.00525874 0 0.544929 
0.011 -2.36406 0.000430753 7.2527e-07 1.41629 0.137894 0.0553585 0.172273 0.282565 0.00551519 -0.0331328 -0.0700869 -0.853066 2.62397e-05 2.72291e-06 6.72906e-07 3.56567e-06 2.1929e-05 0.339511 1.07678 1.09854 -0.0217577 0.0216716 0 -1.22835 
0.012 -0.00326121 0.00238985 2.56548e-06 3.60269 0.137894 0.0553585 0.171458 0.282564 0.00563687 -0.0330421 -0.0700871 -2.7854 8.56768e-05 3.81692e-06 8.28201e-06 4.19432e-06 8.03762e-05 1.90322 1.69946 1.7338 -0.0343397 0.0325074 0 1.3987 
0.013 -6.74977e-05 0.00551123 5.61975e-06 4.99073 0.137895 0.0553584 0.169791 0.282562 0.00588219 -0.0328635 -0.0700873 -3.15642 9.70891e-05 5.99748e-06 2.35665e-05 6.65593e-06 0.000153161 3.39924 1.59149 1.62365 -0.0321581 0.0975222 0 2.48581 
0.014 -4.82284e-05 0.00846069 9.20088e-06 5.47075 0.137895 0.0553584 0.16771 0.28256 0.00618196 -0.0326529 -0.0700875 -3.6977 0.000113738 8.62267e-06 4.22394e-05 1.13922e-05 0.000214764 4.045 1.42575 1.45456 -0.0288092 0.119194 0 2.44764 
