Time CaSSavg CaJSRavg JRyRtot PRyR_open PRyR_ready PNorm_mode PnotVinact PLType_open CaToT2 PIto2_open CaJSRtot CaSStot 
0.001 0.000184404 0.727958 5.77022e-06 0.0012 0.6652 0.996 0.941 0 6.80726 0.001 0.000233014 2.21613 
0.002 0.000194931 0.727897 6.57921e-06 0.0014 0.6664 0.996 0.941 0 6.80714 0.001 0.000234739 2.21603 
0.003 0.000193805 0.727842 6.47513e-06 0.0014 0.668 0.996 0.941 0 6.80701 0.002 0.000234837 2.21594 
0.004 0.000192708 0.727791 6.38116e-06 0.0014 0.668 0.996 0.941 0 6.80689 0.001 0.000234855 2.21585 
0.005 0.000191706 0.727744 6.29642e-06 0.0014 0.6684 0.996 0.942 0 6.80677 0.002 0.00023485 2.21577 
0.006 0.000190781 0.7277 6.21903e-06 0.0014 0.6684 0.996 0.942 0 6.80665 0.002 0.000234831 2.21569 
0.007 0.000189931 0.727658 6.14858e-06 0.0014 0.6684 0.996 0.942 0 6.80652 0.002 0.0002348 2.21562 
0.008 0.000181151 0.727623 5.19427e-06 0.0012 0.669 0.996 0.943 0 6.8064 0.001 0.000231046 2.21556 
0.009 0.000177721 0.727597 5.13938e-06 0.0012 0.67 0.997 0.944 0 6.80628 0.002 0.000228586 2.21551 
0.01 0.000183467 0.72757 5.9711e-06 0.0014 0.6706 0.997 0.944 0 6.80615 0.001 0.00023077 2.21547 
0.011 0.000391761 0.727516 9.95777e-06 0.0022 0.6702 0.996 0.938 0.022 6.80666 0.002 0.000376664 2.21537 
0.012 0.0011388 0.727325 2.2663e-05 0.0046 0.6674 0.995 0.932 0.072 6.80858 0.003 0.000917604 2.21505 
0.013 0.00207154 0.726629 6.8872e-05 0.0132 0.6582 0.992 0.928 0.082 6.81172 0.009 0.00146596 2.21395 
0.014 0.00286352 0.725274 0.000119163 0.023 0.6472 0.988 0.922 0.096 6.8148 0.011 0.00187159 2.2118 
0.015 0.00385409 0.722729 0.000191489 0.0376 0.6288 0.976 0.917 0.101 6.81829 0.019 0.00218191 2.20773 
0.016 0.00472236 0.719212 0.000254554 0.0506 0.6126 0.965 0.91 0.101 6.82195 0.029 0.00252633 2.20203 
0.017 0.00563934 0.715114 0.000330856 0.0664 0.594 0.947 0.905 0.097 6.82531 0.032 0.0028507 2.19532 
0.018 0.00628525 0.710217 0.000393666 0.08 0.5742 0.932 0.902 0.079 6.8282 0.034 0.0030086 2.18724 
0.019 0.00692471 0.704716 0.000441015 0.091 0.5568 0.907 0.899 0.082 6.83111 0.043 0.00329485 2.17806 
0.02 0.0078475 0.698326 0.000503108 0.1054 0.5352 0.888 0.896 0.089 6.83413 0.045 0.00356522 2.16728 
0.021 0.00870714 0.691107 0.000570053 0.121 0.5112 0.865 0.897 0.096 6.8372 0.056 0.00385661 2.155 
0.022 0.00891963 0.683489 0.000595414 0.129 0.4928 0.851 0.894 0.074 6.84025 0.066 0.00399738 2.14187 
0.023 0.00935928 0.675943 0.000623499 0.1374 0.4758 0.835 0.892 0.083 6.84316 0.047 0.00415992 2.12868 
0.024 0.00970902 0.669016 0.000645379 0.1444 0.4586 0.817 0.891 0.089 6.84577 0.058 0.00429695 2.11645 
0.025 0.00970651 0.661441 0.000659196 0.1492 0.4422 0.793 0.884 0.066 6.84865 0.067 0.00439671 2.10298 
0.026 0.00980217 0.654641 0.000652808 0.15 0.4302 0.775 0.881 0.086 6.85089 0.062 0.00449409 2.09078 
0.027 0.00982238 0.648117 0.000665628 0.1546 0.4168 0.759 0.874 0.075 6.85319 0.056 0.00455201 2.07899 
0.028 0.0100084 0.641616 0.000674811 0.1584 0.4022 0.742 0.875 0.078 6.85562 0.061 0.004691 2.06717 
0.029 0.0100575 0.6352 0.000683726 0.1616 0.389 0.73 0.874 0.075 6.85812 0.057 0.0047922 2.05546 
0.03 0.0101053 0.628056 0.000687024 0.1636 0.3744 0.717 0.869 0.062 6.86077 0.05 0.00486419 2.04242 
0.031 0.0103222 0.620926 0.000712681 0.1704 0.356 0.702 0.868 0.063 6.86288 0.061 0.00489072 2.02941 
